Date,Closing Price (USD)
7/9/2017,2586
7/10/2017,2524
7/11/2017,2352
7/12/2017,2292
7/13/2017,2437
7/14/2017,2337
7/15/2017,2109
7/16/2017,2045
7/17/2017,1986
7/18/2017,2189
7/19/2017,2354
7/20/2017,2349
7/21/2017,2740
7/22/2017,2738
7/23/2017,2831
7/24/2017,2772
7/25/2017,2768
7/26/2017,2540
7/27/2017,2570
7/28/2017,2699
7/29/2017,2719
7/30/2017,2714
7/31/2017,2718
8/1/2017,2867
8/2/2017,2739
8/3/2017,2740
8/4/2017,2811
8/5/2017,3123
8/6/2017,3254
8/7/2017,3274
8/8/2017,3474
8/9/2017,3416
8/10/2017,3364
8/11/2017,3451
8/12/2017,3705
8/13/2017,4104
8/14/2017,4036
8/15/2017,4462
8/16/2017,4118
8/17/2017,4322
8/18/2017,4311
8/19/2017,4180
8/20/2017,4139
8/21/2017,4110
8/22/2017,3911
8/23/2017,4162
8/24/2017,4178
8/25/2017,4396
8/26/2017,4359
8/27/2017,4381
8/28/2017,4340
8/29/2017,4442
8/30/2017,4664
8/31/2017,4676
9/1/2017,4783
9/2/2017,4864
9/3/2017,4672
9/4/2017,4593
9/5/2017,4160
9/6/2017,4517
9/7/2017,4543
9/8/2017,4628
9/9/2017,4280
9/10/2017,4194
9/11/2017,4307
9/12/2017,4295
9/13/2017,3944
9/14/2017,3817
9/15/2017,3358
9/16/2017,3772
9/17/2017,3608
9/18/2017,3764
9/19/2017,3976
9/20/2017,3863
9/21/2017,3827
9/22/2017,3690
9/23/2017,3612
9/24/2017,3772
9/25/2017,3753
9/26/2017,3920
9/27/2017,3939
9/28/2017,4220
9/29/2017,4062
9/30/2017,4207
10/1/2017,4300
10/2/2017,4414
10/3/2017,4424
10/4/2017,4307
10/5/2017,4186
10/6/2017,4325
10/7/2017,4370
10/8/2017,4446
10/9/2017,4624
10/10/2017,4789
10/11/2017,4741
10/12/2017,4858
10/13/2017,5728
10/14/2017,5666
10/15/2017,5779
10/16/2017,5607
10/17/2017,5643
10/18/2017,5495
10/19/2017,5627
10/20/2017,5686
10/21/2017,6098
10/22/2017,5949
10/23/2017,5969
10/24/2017,5649
10/25/2017,5550
10/26/2017,5776
10/27/2017,5923
10/28/2017,5737
10/29/2017,5741
10/30/2017,6151
10/31/2017,6130
11/1/2017,6424
11/2/2017,6879
11/3/2017,7199
11/4/2017,7210
11/5/2017,7376
11/6/2017,7231
11/7/2017,7123
11/8/2017,7356
11/9/2017,7342
11/10/2017,7250
11/11/2017,6773
11/12/2017,6075
11/13/2017,5969
11/14/2017,6666
11/15/2017,6867
